timestamp,engine_value,nitrous_value
0.766282,0.04,0.0
0.844132,0.06,0.0
0.934211,0.05,0.0
1.024304,0.04,0.0
1.114579,0.02,0.0
1.204663,0.01,0.0
1.294717,0.01,0.0
1.38512,-0.01,1.58
1.475609,-0.02,1.58
1.565431,0.01,1.62
1.655286,0.02,1.62
1.749722,0.01,1.61
1.839297,0.04,1.58
1.934137,0.08,1.60
2.023775,0.05,1.59
2.118249,0.09,1.60
2.208443,0.07,1.58
2.302287,0.01,1.59
2.392639,0.03,1.61
2.486844,0.05,1.62
2.577123,0.08,1.62
2.671436,0.03,1.62
2.761508,-0.03,1.62
2.855564,-0.01,1.60
2.945589,0.07,1.62
3.039912,0.06,1.60
3.130035,0.05,1.58
3.224062,0.01,1.59
3.314567,-0.02,1.60
3.408683,-0.03,1.58
3.498509,0.01,1.61
3.592819,0.03,1.62
3.68275,0.05,1.63
3.776883,0.06,1.64
3.866914,0.03,1.62
3.961295,0.02,1.59
4.051403,0.02,1.55
4.14555,-0.07,1.58
4.236038,0.01,1.67
4.330237,-0.03,1.60
4.420222,-0.03,1.59
4.514423,-0.02,1.59
4.604211,0.01,1.61
4.698811,-0.01,1.60
4.788997,0.01,1.59
4.882883,0.00,1.61
4.973223,-0.06,1.60
5.067475,-0.01,1.58
5.157473,-0.02,1.59
5.251692,0.01,1.58
5.341716,-0.01,1.58
5.435961,0.00,1.57
5.525925,0.02,1.59
5.620472,0.03,1.63
5.710386,0.06,1.63
5.804649,0.04,1.61
5.895247,-0.03,1.60
5.989018,0.01,1.61
6.079111,0.02,1.58
6.173214,-0.02,1.60
6.263156,0.01,1.59
6.357396,0.01,1.59
6.447557,0.05,1.62
6.541853,0.05,1.63
6.632029,0.06,1.64
6.726071,0.08,1.63
6.816314,0.04,1.58
6.910291,0.04,1.58
7.000421,0.09,1.59
7.090594,0.03,1.59
7.185399,-0.01,1.64
7.274817,-0.04,1.66
7.369157,0.01,1.63
7.458944,0.03,1.60
7.553519,-0.03,1.62
7.643575,-0.02,1.63
7.73791,-0.02,1.59
7.827692,0.01,1.56
7.92196,-0.00,1.58
8.011966,0.01,1.62
8.106203,0.01,1.61
8.19623,-0.04,1.59
8.290946,-0.02,1.58
8.380612,-0.02,1.63
8.475094,0.05,1.63
8.565038,0.09,1.62
8.659293,0.05,1.61
8.749329,-0.01,1.61
8.843771,-0.01,1.61
8.933761,0.01,1.63
9.028217,-0.01,1.63
9.12033,0.00,1.63
9.213078,-0.00,1.61
9.302618,0.04,1.59
9.397579,0.04,1.58
9.486842,0.03,1.59
9.581191,0.02,1.57
9.670973,-0.03,1.57
9.765284,-0.05,1.58
9.855361,-0.04,1.58
9.949648,-0.01,1.60
10.039597,-0.04,1.61
10.134118,-0.07,1.62
10.224032,-0.02,1.64
10.318199,0.01,1.65
10.4084,0.04,1.61
10.502711,0.06,1.59
10.592758,0.01,1.59
10.687516,-0.00,1.57
10.777001,-0.01,1.59
10.871182,-0.04,1.60
10.961131,-0.02,1.58
11.055549,-0.00,1.58
11.145577,-0.03,1.62
11.240003,0.02,1.61
11.329679,0.03,1.61
11.424169,0.03,1.59
11.514253,-0.02,1.59
11.608509,-0.01,1.59
11.698476,0.04,1.62
11.792592,0.01,1.62
11.882762,0.02,1.59
11.976963,0.03,1.59
12.066949,-0.01,1.60
12.161456,-0.02,1.61
12.251419,0.00,1.59
12.345881,-0.04,1.58
12.435755,-0.04,1.58
12.530426,0.00,1.57
12.620552,0.05,1.56
12.714418,0.04,1.57
12.80436,-0.01,1.61
12.89843,-0.02,1.61
12.988627,-0.00,1.59
13.082674,0.00,1.61
13.173025,-0.01,1.59
13.266997,-0.02,1.58
13.357093,-0.02,1.60
13.451397,0.03,1.58
13.541711,-0.02,1.55
13.635807,-0.02,1.56
13.726018,0.00,1.59
13.820039,0.00,1.60
13.910103,-0.02,1.62
14.004468,-0.01,1.58
14.094248,-0.04,1.58
14.189077,-0.06,1.57
14.279127,-0.06,1.59
14.373418,-0.04,1.60
14.463275,-0.05,1.56
14.557565,-0.05,1.54
14.647658,0.01,1.60
14.741867,0.02,1.57
14.831707,0.00,1.57
14.925964,-0.00,1.60
15.015871,-0.02,1.60
15.110322,-0.00,1.60
15.2004,-0.01,1.61
15.294773,-0.02,1.61
15.384642,0.02,1.59
15.479089,0.04,1.58
15.569059,0.02,1.59
15.663301,-0.02,1.63
15.753412,-0.00,1.62
15.847602,-0.05,1.61
15.937601,-0.03,1.60
16.031866,-0.01,1.60
16.121798,-0.06,1.62
16.216237,-0.03,1.61
16.306155,-0.01,1.60
16.400518,-0.01,1.60
16.49043,-0.01,1.60
16.580507,-0.03,1.61
16.675062,-0.03,1.62
16.764862,-0.02,1.58
16.859315,-0.04,1.54
16.949272,-0.03,1.56
17.047266,-0.02,1.55
17.133667,-0.02,1.58
17.227995,-0.02,1.61
17.317729,-0.04,1.61
17.412135,-0.02,1.56
17.502169,-0.01,1.57
17.596821,-0.01,1.55
17.686624,-0.01,1.56
17.780951,-0.03,1.60
17.870893,-0.02,1.56
17.965437,-0.04,1.61
18.055231,-0.03,1.61
18.149566,-0.03,1.63
18.239391,0.02,1.62
18.333882,0.00,1.58
18.423736,0.00,1.57
18.518054,0.02,1.60
18.608325,-0.04,1.57
18.702636,-0.02,1.58
18.792424,-0.00,1.61
18.887207,-0.01,1.65
18.977076,0.00,1.63
19.071354,0.01,1.61
19.161582,0.01,1.61
19.255394,-0.01,1.60
19.345182,-0.02,1.58
19.439791,-0.03,1.62
19.529599,-0.05,1.61
19.624033,-0.05,1.60
19.713949,-0.07,1.62
19.808195,-0.08,1.60
19.898296,-0.03,1.58
19.992619,0.01,1.59
20.082368,0.02,1.61
20.177167,0.03,1.58
20.266758,0.01,1.59
20.361268,-0.01,1.64
20.451309,0.02,1.64
20.545514,0.03,1.61
20.635541,0.03,1.60
20.7298,0.00,1.59
20.819754,-0.04,1.58
20.91493,-0.02,1.58
21.004922,-0.03,1.58
21.098508,-0.00,1.60
21.188527,-0.04,1.61
21.282872,-0.01,1.62
21.37278,-0.02,1.59
21.467476,-0.01,1.61
21.557455,-0.02,1.65
21.651525,-0.04,1.63
21.741427,0.07,1.61
21.835597,-0.03,1.62
21.925876,-0.31,1.59
22.020119,0.56,1.58
22.110575,0.05,1.62
22.204418,-1.03,1.60
22.270112,0.95,2945.57
22.343862,-1.10,1.62
22.434044,0.43,1.62
22.524374,0.26,1.61
22.614111,-0.49,1.63
22.704591,0.11,1.62
22.794157,0.26,1.60
22.880055,-0.10,1.63
22.970656,0.12,1.62
23.060715,0.09,1.59
23.152676,0.00,1.60
23.240835,0.07,1.61
23.330928,-0.06,1.60
23.421286,0.09,1.64
23.510903,0.04,1.57
23.597106,-0.08,1.40
23.687198,0.12,1.60
23.777155,0.12,1.67
23.867571,-0.07,1.69
23.957677,0.12,1.65
24.04784,-0.06,1.66
24.137526,-0.02,1.66
24.23173,0.14,1.65
24.322197,0.03,1.62
24.416052,0.10,1.56
24.506648,0.02,1.60
24.600361,0.03,1.66
24.691024,0.03,1.66
24.784963,-0.04,1.68
24.875081,-0.01,1.70
24.969021,0.04,1.68
25.059553,0.04,1.65
25.153417,0.05,1.60
25.243553,0.07,1.60
25.338085,0.00,1.63
25.427883,0.06,1.65
25.522312,0.04,1.62
25.612064,0.03,1.65
25.706579,0.06,1.66
25.796478,0.07,1.65
25.890561,0.09,1.66
25.981209,0.00,1.68
26.074957,-0.01,1.65
26.165065,0.05,1.66
26.259366,0.01,1.69
26.349747,0.01,1.67
26.439345,0.03,1.62
26.53375,0.04,1.58
26.623797,0.04,1.60
26.718215,0.02,1.63
26.808048,0.04,1.63
26.902386,0.00,1.66
26.992384,0.04,1.65
27.086595,0.07,1.64
27.176622,0.04,1.64
27.270997,0.05,1.62
27.360852,0.05,1.61
27.455202,0.07,1.60
27.545234,0.08,1.61
27.639561,0.03,1.65
27.729845,-0.03,1.65
27.824153,-0.00,1.65
27.914094,0.02,1.64
28.008061,0.06,1.65
28.09815,0.06,1.65
28.192876,0.05,1.64
28.282996,0.06,1.61
28.376892,0.03,1.63
28.467328,0.03,1.65
28.561736,0.04,1.62
28.651505,0.01,1.63
28.745771,-0.01,1.63
28.835603,0.03,1.64
28.929859,0.02,1.64
29.425362,0.03,-22.99
29.925048,0.02,1.68
30.015157,0.05,1.67
30.109452,0.05,1.67
30.199267,0.02,1.65
30.293726,0.00,1.61
30.383756,-0.01,1.62
30.478064,0.01,1.63
30.56801,0.08,1.64
30.662584,0.09,1.66
30.752694,0.08,1.66
30.846916,0.07,1.64
30.936826,0.06,1.65
31.03105,0.06,1.66
31.121102,0.05,1.66
31.215175,0.03,1.66
31.305172,0.02,1.67
31.399579,0.04,1.67
31.489784,0.05,1.65
31.583945,0.04,1.63
31.674124,0.05,1.65
31.768325,0.04,1.65
31.858294,0.01,1.66
31.952522,0.01,1.66
32.042595,0.04,1.62
32.136762,0.06,1.62
32.226769,0.06,1.62
32.32112,0.03,1.61
32.411161,-0.00,1.65
32.505397,0.03,1.64
32.595761,0.05,1.64
32.690002,0.06,1.67
32.780016,0.06,1.69
32.874161,0.08,1.68
32.964114,0.04,1.69
33.058303,0.01,1.68
33.148292,-0.01,1.63
33.242837,0.02,1.64
33.332958,0.02,1.63
33.426995,0.04,1.62
33.517188,0.05,1.63
33.611389,0.02,1.65
33.701305,-0.00,1.64
33.771334,0.02,-22.10
33.822528,0.04,1.63
33.886017,0.03,1.63
33.980448,0.00,1.65
34.070164,-0.00,1.65
34.164755,0.05,1.33
34.254598,0.09,1.39
34.348807,1.35,1.66
34.441422,3.55,1.53
34.533088,5.56,1.43
34.62305,8.17,1.40
34.717366,11.67,1.36
34.807351,14.73,1.27
34.902667,16.97,1.18
34.991763,19.17,1.11
35.086086,20.51,1.09
35.176035,20.81,1.00
35.270742,21.30,0.93
35.36034,21.84,0.89
35.454539,21.87,0.84
35.544514,21.95,0.81
35.638899,22.00,0.77
35.728812,21.82,0.71
35.823315,21.67,0.70
35.913249,21.62,0.69
36.003278,22.10,0.55
