timestamp,engine_value,nitrous_value
0.767971,-0.11,0.0
0.821913,-0.11,0.0
0.912136,-0.13,0.0
1.002196,-0.16,0.0
1.09197,-0.11,0.0
1.182191,-0.09,0.0
1.272679,-0.09,0.0
1.363011,-0.15,1.46
1.453071,-0.12,1.42
1.543237,-0.10,1.43
1.628602,-0.12,1.42
1.718853,-0.07,1.42
1.808652,-0.06,1.44
1.902901,-0.07,1.45
1.993133,-0.12,1.44
2.087628,-0.13,1.42
2.182054,-0.15,1.44
2.272151,-0.09,1.43
2.366492,-0.10,1.45
2.456628,-0.10,1.46
2.550638,-0.08,1.44
2.640753,-0.19,1.42
2.734854,-0.11,1.44
2.825161,-0.14,1.43
2.918929,-0.09,1.40
3.009442,-0.08,1.43
3.103279,-0.09,1.42
3.193609,-0.09,1.44
3.287937,-0.07,1.47
3.378027,-0.07,1.45
3.472265,-0.08,1.45
3.562476,-0.08,1.44
3.656667,-0.06,1.44
3.746993,-0.10,1.43
3.84048,-0.15,1.42
3.930299,-0.12,1.44
4.025422,-0.13,1.47
4.114998,-0.20,1.46
4.209091,-0.11,1.44
4.299672,-0.09,1.41
4.393685,-0.11,1.41
4.483897,-0.06,1.41
4.578227,-0.10,1.42
4.667504,-0.10,1.46
4.762488,-0.09,1.46
4.852464,-0.19,1.42
4.946664,-0.19,1.43
5.04098,-0.13,1.41
5.131138,-0.24,1.41
5.225392,-0.19,1.44
5.315029,-0.10,1.46
5.409508,-0.13,1.45
5.499594,-0.17,1.42
5.593932,-0.12,1.41
5.68354,-0.10,1.42
5.778127,-0.12,1.41
5.867913,-0.14,1.45
5.961987,-0.09,1.44
6.052284,-0.03,1.42
6.146985,-0.10,1.44
6.236922,-0.14,1.47
6.33124,-0.14,1.46
6.421331,-0.12,1.44
6.515563,-0.16,1.46
6.605519,-0.17,1.47
6.699874,-0.17,1.47
6.789346,-0.16,1.45
6.884499,-0.12,1.47
6.974154,-0.14,1.48
7.068525,-0.13,1.43
7.15842,-0.10,1.41
7.252798,-0.12,1.42
