timestamp,engine_value,nitrous_value
0.267529,-0.06,0.0
0.318485,-0.08,0.0
0.369374,-0.11,0.0
0.456286,-0.09,0.0
0.546598,0.09,1.57
0.636852,-0.02,1.74
0.727082,-0.19,2.29
0.817172,0.10,2.27
0.907121,0.02,1.99
0.997366,3.85,1.67
1.087482,13.74,1.36
1.17306,22.81,1.27
1.263819,27.52,1.53
1.353602,28.81,1.59
1.443722,29.38,1.67
1.533963,29.95,1.72
1.623852,29.45,1.59
1.713755,28.97,1.37
1.804088,29.19,1.13
1.894201,28.92,1.10
1.984367,28.42,1.25
2.070338,28.49,1.23
2.160233,28.13,1.08
2.250398,27.68,0.91
2.340626,27.86,0.92
2.430657,27.60,0.90
2.520711,27.23,0.83
2.610957,27.44,0.87
2.701203,27.42,0.93
2.79173,27.60,0.87
2.880922,29.04,0.79
2.96783,30.48,0.64
3.057351,30.03,0.78
3.147307,27.70,0.77
3.237423,24.99,0.65
3.327426,23.07,0.55
3.417557,21.31,0.62
3.50799,19.20,0.65
3.59833,17.63,0.58
3.68839,16.82,0.53
3.778196,16.53,0.48
3.872551,16.13,0.52
3.966451,14.75,0.58
4.056324,13.19,0.58
4.150717,12.51,0.54
4.24103,12.24,0.53
4.335063,11.63,0.52
4.424926,11.29,0.53
4.51932,11.23,0.56
4.609655,10.92,0.56
4.70366,10.71,0.52
4.79365,10.70,0.50
4.887851,10.48,0.54
4.977787,10.36,0.51
5.072082,10.34,0.47
5.162335,10.18,0.47
5.256625,10.09,0.50
5.346689,10.12,0.48
5.441006,10.00,0.44
5.53497,9.94,0.47
5.625034,9.89,0.46
5.719215,9.80,0.52
5.809564,9.77,0.53
5.904051,9.77,0.47
5.993677,9.76,0.48
6.088124,9.74,0.50
6.177927,9.75,0.50
6.272946,9.81,0.51
6.362369,9.82,0.49
6.456807,9.79,0.49
6.547332,9.81,0.51
6.641121,9.78,0.52
6.730835,9.80,0.51
6.826024,9.82,0.49
6.920058,9.80,0.48
7.009774,9.80,0.47
7.103699,9.77,0.48
7.193933,9.70,0.48
7.288824,9.73,0.45
7.378759,9.77,0.47
7.473091,9.75,0.50
7.562609,9.76,0.49
7.656861,9.73,0.46
7.746754,9.72,0.48
7.840886,9.77,0.46
7.931188,9.75,0.46
8.025972,9.71,0.47
8.115471,9.67,0.48
8.210426,9.64,0.48
8.299427,9.53,0.49
8.39553,9.49,0.45
8.487971,9.40,0.48
8.578444,9.31,0.49
8.672562,9.34,0.48
9.012092,-27.84,0.62
9.499558,0.10,0.51
9.589567,0.08,0.45
9.680283,-0.14,0.48
9.765987,0.01,0.54
9.855999,0.08,0.52
9.946335,-0.08,0.48
10.036504,-0.02,0.47
10.126415,0.06,0.50
10.216529,-0.02,0.53
10.306609,-0.06,0.53
10.396733,0.01,0.51
10.487321,0.02,0.51
10.5387,0.0,0.47
10.609474,0.0,0.51
