timestamp,engine_value,nitrous_value
23.56576,0.13,0.0
23.616893,-0.04,0.0
23.693383,0.02,0.0
23.783445,0.10,0.0
23.872987,0.01,0.0
23.963238,0.06,1.53
24.053921,0.07,1.54
24.13986,0.02,1.52
24.2302,0.11,1.50
24.320215,0.06,1.55
24.409934,-0.02,1.55
24.500152,0.13,1.54
24.590793,0.05,1.54
24.681167,0.04,1.54
24.770621,0.11,1.53
24.860725,0.02,1.54
24.94665,0.06,1.53
25.036809,0.06,1.50
25.12718,0.03,1.48
25.217513,0.07,1.51
25.307415,0.03,1.50
25.397092,0.02,1.53
25.487525,0.12,1.55
25.577392,0.07,1.56
25.667553,0.07,1.53
25.753297,0.11,1.52
25.843318,0.07,1.54
25.933798,0.18,1.52
26.024106,0.12,1.51
26.118077,0.05,1.53
26.208258,0.08,1.53
26.302181,0.07,1.51
26.391984,0.04,1.49
26.486544,0.08,1.48
26.576594,-0.02,1.48
26.671178,0.06,1.47
26.765259,0.11,1.48
26.855598,0.07,1.50
26.949117,0.04,1.52
27.039813,0.03,1.52
27.133439,0.05,1.52
27.224094,0.07,1.51
27.318164,0.05,1.49
27.407896,0.06,1.50
27.502584,0.08,1.51
27.592578,0.06,1.52
27.686346,0.06,1.51
27.776421,0.05,1.53
27.871417,0.04,1.53
27.960747,0.05,1.49
28.055214,0.02,1.53
28.145547,0.04,1.56
28.239754,0.07,1.54
28.329846,0.01,1.54
28.423646,0.01,1.53
28.514336,-0.01,1.50
28.607818,0.01,1.51
28.698749,0.02,1.49
28.79224,0.05,1.47
28.88211,0.07,1.49
28.977232,0.08,1.53
29.067098,0.07,1.51
29.161421,0.10,1.51
29.251462,0.05,1.51
29.34571,0.06,1.50
29.439769,0.07,1.52
29.53001,0.02,1.51
29.623785,0.00,1.52
29.714212,0.02,1.54
29.784027,0.01,-22.07
29.835451,0.02,1.50
29.898829,0.04,1.48
29.993129,-0.01,1.48
30.082936,0.02,1.50
30.177228,0.19,1.26
30.26722,5.63,1.37
30.36104,26.46,1.57
30.451768,48.33,1.43
30.545962,62.06,1.36
30.636003,74.55,1.29
30.729817,90.40,1.23
30.819874,106.49,1.14
30.914897,114.85,1.11
31.00454,117.23,1.05
31.098351,119.17,0.95
31.188451,122.98,0.92
31.283082,126.49,0.89
31.372906,127.97,0.80
31.467344,128.74,0.76
31.557241,130.49,0.73
31.651639,132.40,0.68
31.74159,132.81,0.59
31.835819,133.14,0.55
31.930057,134.49,0.52
32.019862,136.23,0.47
32.114472,137.39,0.47
32.204177,139.17,0.44
32.298653,142.31,0.30
32.388435,146.49,0.25
32.482518,152.98,0.28
32.572453,159.79,0.22
32.667039,171.54,0.18
32.757072,177.66,0.12
32.850945,166.07,0.11
32.941337,147.04,0.11
33.035434,131.63,0.11
33.125583,122.36,0.12
33.21983,117.51,0.11
33.309925,110.20,0.09
33.404007,105.80,0.09
33.494189,104.10,0.09
33.588892,102.74,0.09
33.678561,99.13,0.06
33.772943,92.39,0.07
33.862835,84.10,0.06
33.956994,77.79,0.04
34.047216,74.54,0.06
34.141508,59.73,0.06
34.231142,31.22,0.08
34.3258,15.40,0.09
34.415433,16.28,0.10
34.510007,19.60,0.10
34.603987,15.06,0.12
34.694387,11.80,0.09
34.788464,14.09,0.07
34.883043,13.07,0.09
34.972832,9.92,0.11
35.062628,10.09,0.11
35.157145,10.66,0.10
35.247245,8.99,0.08
35.341424,8.44,0.09
35.43125,8.65,0.10
35.52584,7.78,0.10
35.615531,7.55,0.05
35.710112,6.81,0.05
35.799811,6.67,0.06
35.893993,6.63,0.10
35.984424,6.09,0.10
36.07868,6.02,0.09
36.168412,5.82,0.06
36.262697,5.51,0.04
36.353011,5.66,0.06
36.447189,5.50,0.06
36.537329,5.29,0.03
36.631417,5.41,0.05
36.721664,5.28,0.06
36.815729,5.36,0.04
36.906005,5.37,0.00
36.999996,5.13,0.02
37.0899,5.18,0.02
37.184086,5.10,0.00
37.278759,4.89,0.01
37.368926,5.05,0.01
37.463053,5.10,0.01
37.553255,4.95,0.01
37.647213,5.06,-0.01
37.737594,4.93,0.01
37.831332,4.80,0.04
37.921836,4.83,0.04
38.015689,4.63,0.01
38.106025,4.56,-0.01
38.200169,4.67,0.01
38.290629,4.62,0.03
38.384645,4.62,-0.01
38.474616,4.60,0.01
38.569017,4.46,0.04
38.658975,4.48,-0.02
38.75326,4.45,-0.01
38.842961,4.33,0.01
38.937212,4.36,-0.00
39.027218,4.30,0.01
39.121805,4.34,0.00
39.211866,4.30,-0.05
39.306188,4.28,-0.03
39.396178,4.18,-0.04
39.49053,4.18,-0.00
39.580405,4.18,0.02
39.674709,4.18,-0.01
39.764673,4.13,-0.03
39.859105,4.02,-0.04
39.953254,4.00,-0.01
40.043399,4.05,-0.04
40.137572,3.93,-0.00
40.227624,3.89,0.04
40.321853,3.81,0.06
40.412087,2.51,0.01
40.506192,0.98,0.02
40.596319,0.56,0.03
40.690433,0.57,0.01
40.78053,0.43,0.03
40.874805,0.52,0.01
40.964766,0.49,0.01
41.059069,0.43,0.00
41.149218,0.52,-0.01
41.243579,0.44,0.00
41.333326,0.44,0.05
41.427705,0.51,0.07
41.517604,0.44,0.06
41.612213,0.44,0.04
41.701988,0.42,0.06
41.796472,0.41,0.08
41.886553,0.51,0.07
41.980597,0.0,0.03
