position,binary_number,decimal_number
0,01111111,127
1,00111111,63
2,00111110,62
3,00111010,58
4,00111000,56
5,10111000,184
6,10011000,152
7,00011000,24
8,00001000,8
9,01001000,72
10,01001001,73
11,01001101,77
12,01001111,79
13,00001111,15
14,00101111,47
15,10001111,143
16,10111111,191
17,10011111,159
18,00011111,31
19,00011101,29
20,00011100,28
21,01011100,92
22,01001100,76
23,00001100,12
24,00000100,4
25,00100100,36
26,10100100,164
27,10100110,166
28,10100111,167
29,10000111,135
30,10010111,151
31,11010111,215
32,11011111,223
33,11001111,207
34,10001111,143
35,10001110,142
36,00001110,14
37,00101110,46
38,00100110,38
39,00000110,6
40,00000010,2
41,00010010,18
42,01010010,82
43,01010011,83
44,11010011,211
45,11000011,195
46,11001011,203
47,11101011,235
48,11101111,239
49,11100111,231
50,11000111,199
51,01000111,71
52,00000111,7
53,00010111,23
54,00010011,19
55,00000011,3
56,00000001,1
57,00001001,9
58,00101001,41
59,10101001,169
60,11101001,233
61,11100001,225
62,11100101,229
63,11110101,245
64,11110111,247
65,11110011,243
66,11100011,227
67,10100011,163
68,10000011,131
69,10001011,139
70,10001001,137
71,10000001,129
72,10000000,128
73,10000100,132
74,10001100,148
75,11010100,212
76,11110100,244
77,11110000,240
78,11110010,242
79,11111010,250
80,11111011,251
81,11111001,249
82,11110001,241
83,11010001,209
84,11000001,193
85,11000101,197
86,11000100,196
87,11000000,192
88,01000000,64
89,01000010,66
90,01001010,74
91,01101010,106
92,01111010,122
93,01111000,120
94,01111001,121
95,01111101,125
96,11111101,253
97,11111100,252
98,11111000,248
99,11101000,232
100,11100000,224
101,11100010,226
102,01100010,98
103,01100000,96
104,00100000,32
105,00100001,33
106,00100011,37
107,00110101,53
108,00111101,61
109,00111100,60
110,10111100,188
111,10111110,190
112,11111110,254
113,01111110,126
114,01111100,124
115,01110100,116
116,01110000,112
117,01110001,113
118,00110001,49
119,00110000,48
120,00010000,16
121,10010000,144
122,10010010,146
123,10011010,154
124,10011110,158
125,00011110,30
126,01011110,94
127,01011111,95
