timestamp,engine_value,nitrous_value
0.765101,-0.29,0.0
0.816058,-0.27,0.0
0.867818,-0.30,0.0
0.95779,-0.29,0.0
1.043709,-0.22,0.0
1.134025,-0.24,0.0
1.223977,-0.28,0.0
1.314125,-0.26,0.0
1.404737,-0.26,1.33
1.494634,-0.29,1.33
1.580628,-0.24,1.33
1.670716,-0.24,1.36
1.760848,-0.24,1.35
1.851047,-0.23,1.34
1.941114,-0.22,1.34
2.035206,-0.22,1.34
2.125272,-0.19,1.35
2.219461,-0.18,1.34
2.309608,-0.16,1.33
2.399693,-0.16,1.33
2.494217,-0.14,1.33
2.584291,-0.17,1.35
2.678519,-0.17,1.36
2.76853,-0.18,1.34
2.862805,-0.20,1.36
2.95257,-0.20,1.34
3.042749,-0.15,1.36
3.13682,-0.16,1.34
3.227041,-0.18,1.34
3.321178,-0.18,1.33
3.411208,-0.12,1.34
3.505441,-0.09,1.29
3.595613,-0.11,1.31
3.685513,-0.17,1.36
3.780034,-0.14,1.37
3.869959,-0.12,1.34
3.964118,-0.19,1.33
4.054211,-0.20,1.34
4.14853,-0.14,1.35
4.238537,-0.16,1.34
4.328767,-0.19,1.34
4.423046,-0.18,1.36
4.513,-0.16,1.33
4.607159,-0.14,1.31
4.697396,-0.12,1.30
4.791465,-0.15,1.32
4.881592,-0.18,1.31
4.971564,-0.20,1.31
5.065968,-0.18,1.31
5.155912,-0.16,1.31
5.2503,-0.12,1.31
5.34029,-0.09,1.32
5.434587,-0.13,1.33
5.524653,-0.12,1.32
5.614565,-0.07,1.30
5.708977,-0.09,1.29
5.798991,-0.13,1.33
5.893266,-0.11,1.36
5.983247,-0.07,1.35
6.077678,-0.03,1.37
6.16769,-0.02,1.35
6.257666,-0.04,1.34
6.351903,-0.05,1.34
6.442008,-0.02,1.36
6.536149,0.03,1.34
6.626473,0.07,1.36
6.720596,0.04,1.34
6.810813,0.05,1.34
6.900651,0.05,1.32
6.995046,0.04,1.32
7.084994,0.09,1.32
7.179181,0.11,1.29
7.269454,0.09,1.30
7.363637,0.10,1.33
7.45381,0.10,1.29
7.543816,0.07,1.30
7.638163,0.09,1.35
7.728015,0.08,1.35
7.822515,0.09,1.32
7.912373,0.12,1.29
8.006594,0.11,1.30
8.096666,0.17,1.32
8.186748,0.20,1.37
8.281143,0.16,1.34
8.371185,0.12,1.30
8.46555,0.11,1.32
8.555388,0.16,1.32
8.649741,0.19,1.32
8.739857,0.15,1.30
8.829679,0.10,1.32
8.924136,0.08,1.33
9.014176,0.10,1.31
9.108465,0.13,1.28
9.198492,0.12,1.31
9.292724,0.08,1.33
9.382832,0.05,1.32
9.472927,0.05,1.30
9.567104,0.03,1.28
9.657043,0.06,1.29
9.751283,0.09,1.32
9.841474,0.12,1.32
9.935637,0.10,1.30
10.026053,0.04,1.30
10.115847,0.07,1.30
10.210122,0.11,1.29
10.300068,0.09,1.26
10.394407,0.08,1.29
10.484497,0.10,1.31
10.578749,0.14,1.30
10.668845,0.16,1.31
10.75883,0.21,1.32
10.853114,0.20,1.31
10.943213,0.19,1.27
11.037364,0.21,1.26
11.127494,0.24,1.29
11.221707,0.22,1.27
11.311776,0.18,1.28
11.401801,0.24,1.31
11.496189,0.27,1.27
11.586196,0.25,1.27
11.680522,0.24,1.29
11.770615,0.25,1.29
11.864949,0.20,1.28
11.955065,0.17,1.28
12.045088,0.23,1.26
12.139144,0.21,1.28
12.229401,0.21,1.25
12.323527,0.20,1.28
12.413565,0.18,1.32
12.507789,0.13,1.30
12.597933,0.18,1.28
12.687894,0.21,1.31
12.782426,0.19,1.29
12.872171,0.23,1.32
12.966686,0.23,1.29
13.056504,0.18,1.30
13.150939,0.22,1.31
13.240888,0.22,1.30
13.330834,0.16,1.29
13.425264,0.16,1.29
13.515347,0.20,1.26
13.609457,0.22,1.29
13.699677,0.21,1.31
13.793835,0.20,1.30
13.884002,0.21,1.31
13.973847,0.21,1.26
14.068238,0.21,1.27
14.158338,0.24,1.29
14.252708,0.24,1.28
14.342754,0.22,1.25
14.436929,0.21,1.26
14.527106,0.23,1.29
14.617192,0.20,1.31
14.711414,0.20,1.28
14.801474,0.18,1.28
14.89564,0.16,1.29
14.985741,0.20,1.28
15.079926,0.19,1.29
15.170094,0.20,1.31
15.2601,0.22,1.33
15.354464,0.18,1.33
15.444463,0.16,1.30
15.538798,0.13,1.31
15.628717,0.11,1.30
15.723065,0.10,1.31
15.81315,0.13,1.29
15.903325,0.17,1.29
15.997786,0.20,1.30
16.087737,0.18,1.29
16.181856,0.23,1.30
16.271978,0.27,1.34
16.366006,0.29,1.30
16.456178,0.29,1.27
16.546117,0.25,1.33
16.640482,0.24,1.32
16.730547,0.24,1.29
16.8248,0.29,1.31
16.914994,0.29,1.29
17.00928,0.25,1.30
17.099299,0.26,1.32
17.189492,0.20,1.33
17.283968,0.18,1.34
17.373778,0.11,1.32
17.468059,0.07,1.32
17.557965,0.08,1.30
17.647971,0.11,1.32
17.742373,0.04,1.31
17.832357,0.01,1.27
17.926767,0.02,1.25
18.016634,-0.01,1.28
18.111097,0.02,1.29
18.200942,-0.02,1.29
18.291101,-0.04,1.27
18.385402,-0.06,1.30
18.475538,-0.05,1.28
18.569596,-0.06,1.25
18.660212,-0.08,1.27
18.75414,-0.11,1.30
18.844349,-0.10,1.31
18.938495,-0.07,1.31
19.028341,-0.03,1.31
19.118371,-0.03,1.31
19.212589,-0.09,1.32
19.302585,-0.10,1.33
19.397032,-0.09,1.32
19.487072,-0.09,1.32
19.581146,-0.12,1.33
19.671374,-0.10,1.31
19.761665,-0.10,1.31
19.855937,-0.15,1.33
19.946012,-0.19,1.31
20.04048,-0.21,1.30
20.130403,-0.17,1.27
20.224675,-0.17,1.29
20.314859,-0.20,1.31
20.404528,-0.19,1.31
20.498846,-0.19,1.29
20.588708,-0.17,1.27
20.68351,-0.15,1.30
20.773037,-0.13,1.29
20.863192,-0.07,1.26
20.957289,-0.02,1.27
21.047669,0.01,1.25
21.141801,-0.06,1.27
21.232206,-0.08,1.28
21.326301,-0.14,1.33
21.416698,-0.13,1.31
21.506558,-0.14,1.26
21.600869,-0.05,1.29
21.69038,0.09,1.29
21.784585,-1.03,1.31
